Fecha (dd/mm/aaaa),Valor COLCAP,Variación absoluta,Variación porcentual
15-01-2008,980.21,-19.7850,-1.9785%
16-01-2008,958.99,-21.2208,-2.1649%
17-01-2008,928.38,-30.6136,-3.1923%
18-01-2008,903.49,-24.8946,-2.6815%
21-01-2008,832.37,-71.1182,-7.8715%
22-01-2008,879.67,47.3003,5.6826%
23-01-2008,890.89,11.2274,1.2763%
24-01-2008,933.79,42.8915,4.8144%
25-01-2008,939.61,5.8191,0.6232%
28-01-2008,930.97,-8.6329,-0.9188%
29-01-2008,946.51,15.5356,1.6688%
30-01-2008,936.55,-9.9551,-1.0518%
31-01-2008,937.33,0.7744,0.0827%
01-02-2008,938.16,0.8290,0.0884%
04-02-2008,945.18,7.0260,0.7489%
05-02-2008,920.47,-24.7081,-2.6141%
06-02-2008,900.89,-19.5824,-2.1274%
07-02-2008,891.30,-9.5879,-1.0643%
08-02-2008,906.03,14.7239,1.6520%
11-02-2008,920.78,14.7507,1.6281%
12-02-2008,915.74,-5.0415,-0.5475%
13-02-2008,918.85,3.1117,0.3398%
14-02-2008,928.67,9.8208,1.0688%
15-02-2008,929.63,0.9634,0.1037%
18-02-2008,944.25,14.6143,1.5721%
19-02-2008,945.40,1.1516,0.1220%
20-02-2008,941.38,-4.0179,-0.4250%
21-02-2008,944.38,3.0012,0.3188%
22-02-2008,940.05,-4.3284,-0.4583%
25-02-2008,938.49,-1.5680,-0.1668%
26-02-2008,938.58,0.0911,0.0097%
27-02-2008,935.15,-3.4251,-0.3649%
28-02-2008,931.03,-4.1174,-0.4403%
29-02-2008,914.90,-16.1321,-1.7327%
03-03-2008,896.73,-18.1718,-1.9862%
04-03-2008,859.79,-36.9372,-4.1191%
05-03-2008,897.61,37.8202,4.3988%
06-03-2008,889.83,-7.7832,-0.8671%
07-03-2008,900.79,10.9631,1.2320%
10-03-2008,907.83,7.0351,0.7810%
11-03-2008,911.72,3.8904,0.4285%
12-03-2008,914.89,3.1758,0.3483%
13-03-2008,912.74,-2.1495,-0.2349%
14-03-2008,902.13,-10.6185,-1.1634%
17-03-2008,890.57,-11.5527,-1.2806%
18-03-2008,899.67,9.0996,1.0218%
19-03-2008,902.56,2.8853,0.3207%
25-03-2008,895.08,-7.4769,-0.8284%
26-03-2008,891.73,-3.3535,-0.3747%
27-03-2008,887.89,-3.8418,-0.4308%
28-03-2008,890.03,2.1387,0.2409%
31-03-2008,889.28,-0.7410,-0.0833%
01-04-2008,913.73,24.4485,2.7492%
02-04-2008,919.30,5.5659,0.6091%
03-04-2008,923.04,3.7388,0.4067%
04-04-2008,922.00,-1.0387,-0.1125%
07-04-2008,928.32,6.3246,0.6860%
08-04-2008,930.57,2.2494,0.2423%
09-04-2008,936.53,5.9531,0.6397%
10-04-2008,922.05,-14.4722,-1.5453%
11-04-2008,917.73,-4.3244,-0.4690%
14-04-2008,917.57,-0.1582,-0.0172%
15-04-2008,931.61,14.0425,1.5304%
16-04-2008,936.55,4.9324,0.5294%
17-04-2008,934.66,-1.8887,-0.2017%
18-04-2008,952.82,18.1629,1.9433%
21-04-2008,953.25,0.4328,0.0454%
22-04-2008,950.97,-2.2817,-0.2394%
23-04-2008,942.21,-8.7580,-0.9210%
24-04-2008,949.52,7.3044,0.7752%
25-04-2008,953.07,3.5547,0.3744%
28-04-2008,962.40,9.3297,0.9789%
29-04-2008,969.11,6.7042,0.6966%
30-04-2008,985.95,16.8445,1.7381%
02-05-2008,"1,012.31",26.3561,2.6732%
06-05-2008,"1,032.08",19.7725,1.9532%
07-05-2008,"1,010.96",-21.1159,-2.0460%
08-05-2008,"1,001.24",-9.7242,-0.9619%
09-05-2008,"1,008.49",7.2488,0.7240%
12-05-2008,"1,010.27",1.7836,0.1769%
13-05-2008,"1,015.63",5.3622,0.5308%
14-05-2008,"1,027.74",12.1099,1.1923%
15-05-2008,"1,024.58",-3.1661,-0.3081%
16-05-2008,"1,016.11",-8.4686,-0.8265%
19-05-2008,"1,016.10",-0.0132,-0.0013%
20-05-2008,"1,009.48",-6.6126,-0.6508%
21-05-2008,"1,015.60",6.1207,0.6063%
22-05-2008,"1,008.67",-6.9353,-0.6829%
23-05-2008,"1,003.07",-5.5971,-0.5549%
27-05-2008,999.50,-3.5761,-0.3565%
28-05-2008,"1,000.23",0.7301,0.0730%
29-05-2008,"1,010.15",9.9231,0.9921%
30-05-2008,"1,019.78",9.6308,0.9534%
03-06-2008,"1,004.80",-14.9811,-1.4691%
04-06-2008,"1,015.92",11.1176,1.1065%
05-06-2008,"1,015.36",-0.5555,-0.0547%
06-06-2008,"1,013.73",-1.6292,-0.1605%
09-06-2008,"1,004.28",-9.4537,-0.9326%
10-06-2008,990.50,-13.7792,-1.3721%
11-06-2008,989.39,-1.1077,-0.1118%
12-06-2008,990.29,0.8983,0.0908%
13-06-2008,991.85,1.5620,0.1577%
16-06-2008,991.66,-0.1938,-0.0195%
17-06-2008,979.84,-11.8127,-1.1912%
18-06-2008,972.13,-7.7146,-0.7873%
19-06-2008,941.47,-30.6588,-3.1538%
20-06-2008,959.27,17.7951,1.8901%
23-06-2008,959.13,-0.1367,-0.0143%
24-06-2008,956.22,-2.9067,-0.3031%
25-06-2008,956.14,-0.0845,-0.0088%
26-06-2008,942.99,-13.1515,-1.3755%
27-06-2008,945.31,2.3193,0.2460%
01-07-2008,924.70,-20.6048,-2.1797%
02-07-2008,924.47,-0.2262,-0.0245%
03-07-2008,938.44,13.9616,1.5102%
