Fecha (dd/mm/aaaa),Tasa de cambio representativa del mercado (TRM),Variación Porcentual
15-01-2008,1949.43,-1.809
16-01-2008,1948.91,-0.027
17-01-2008,1960.49,0.594
18-01-2008,1947.6,-0.657
19-01-2008,1968.13,1.054
20-01-2008,1968.13,0.000
21-01-2008,1968.13,0.000
22-01-2008,1968.13,0.000
23-01-2008,2007.41,1.996
24-01-2008,2005.08,-0.116
25-01-2008,1970.65,-1.717
26-01-2008,1961.3,-0.474
27-01-2008,1961.3,0.000
28-01-2008,1961.3,0.000
29-01-2008,1969.65,0.426
30-01-2008,1946.54,-1.173
31-01-2008,1939.6,-0.357
01-02-2008,1939.77,0.009
02-02-2008,1921.94,-0.919
03-02-2008,1921.94,0.000
04-02-2008,1921.94,0.000
05-02-2008,1917.26,-0.244
06-02-2008,1928.3,0.576
07-02-2008,1929.7,0.073
08-02-2008,1935.49,0.300
09-02-2008,1923.08,-0.641
10-02-2008,1923.08,0.000
11-02-2008,1923.08,0.000
12-02-2008,1912.8,-0.535
13-02-2008,1901.38,-0.597
14-02-2008,1898.4,-0.157
15-02-2008,1894.87,-0.186
16-02-2008,1905.37,0.554
17-02-2008,1905.37,0.000
18-02-2008,1905.37,0.000
19-02-2008,1905.37,0.000
20-02-2008,1890.74,-0.768
21-02-2008,1910.81,1.061
22-02-2008,1895.85,-0.783
23-02-2008,1892,-0.203
24-02-2008,1892,0.000
25-02-2008,1892,0.000
26-02-2008,1887.97,-0.213
27-02-2008,1879.19,-0.465
28-02-2008,1854.87,-1.294
29-02-2008,1843.59,-0.608
01-03-2008,1845.17,0.086
02-03-2008,1845.17,0.000
03-03-2008,1845.17,0.000
04-03-2008,1849.46,0.232
05-03-2008,1841.61,-0.424
06-03-2008,1856.69,0.819
07-03-2008,1880.12,1.262
08-03-2008,1902.17,1.173
09-03-2008,1902.17,0.000
10-03-2008,1902.17,0.000
11-03-2008,1864.78,-1.966
12-03-2008,1865.98,0.064
13-03-2008,1853.41,-0.674
14-03-2008,1856.01,0.140
15-03-2008,1843.95,-0.650
16-03-2008,1843.95,0.000
17-03-2008,1843.95,0.000
18-03-2008,1857.55,0.738
19-03-2008,1823.11,-1.854
20-03-2008,1815.65,-0.409
21-03-2008,1815.65,0.000
22-03-2008,1815.65,0.000
23-03-2008,1815.65,0.000
24-03-2008,1815.65,0.000
25-03-2008,1815.65,0.000
26-03-2008,1835.01,1.066
27-03-2008,1821.31,-0.747
28-03-2008,1810.68,-0.584
29-03-2008,1821.6,0.603
30-03-2008,1821.6,0.000
31-03-2008,1821.6,0.000
01-04-2008,1834.96,0.733
02-04-2008,1827.94,-0.383
03-04-2008,1826.34,-0.088
04-04-2008,1824.39,-0.107
05-04-2008,1816.28,-0.445
06-04-2008,1816.28,0.000
07-04-2008,1816.28,0.000
08-04-2008,1811.23,-0.278
09-04-2008,1812.85,0.089
10-04-2008,1799.07,-0.760
11-04-2008,1791.63,-0.414
12-04-2008,1792.49,0.048
13-04-2008,1792.49,0.000
14-04-2008,1792.49,0.000
15-04-2008,1792.69,0.011
16-04-2008,1797.89,0.290
17-04-2008,1798.89,0.056
18-04-2008,1792.87,-0.335
19-04-2008,1785.17,-0.429
20-04-2008,1785.17,0.000
21-04-2008,1785.17,0.000
22-04-2008,1780.79,-0.245
23-04-2008,1775.08,-0.321
24-04-2008,1765.3,-0.551
25-04-2008,1765.75,0.025
26-04-2008,1775.22,0.536
27-04-2008,1775.22,0.000
28-04-2008,1775.22,0.000
29-04-2008,1767.73,-0.422
30-04-2008,1780.21,0.706
01-05-2008,1767.27,-0.727
02-05-2008,1767.27,0.000
03-05-2008,1756.25,-0.624
04-05-2008,1756.25,0.000
05-05-2008,1756.25,0.000
06-05-2008,1756.25,0.000
07-05-2008,1769.32,0.744
08-05-2008,1787.62,1.034
09-05-2008,1793.13,0.308
10-05-2008,1781.79,-0.632
11-05-2008,1781.79,0.000
12-05-2008,1781.79,0.000
13-05-2008,1781.29,-0.028
14-05-2008,1780.01,-0.072
15-05-2008,1787.65,0.429
16-05-2008,1792.94,0.296
17-05-2008,1785.04,-0.441
18-05-2008,1785.04,0.000
19-05-2008,1785.04,0.000
20-05-2008,1779.35,-0.319
21-05-2008,1787.59,0.463
22-05-2008,1779.48,-0.454
23-05-2008,1779.59,0.006
24-05-2008,1777.98,-0.090
25-05-2008,1777.98,0.000
26-05-2008,1777.98,0.000
27-05-2008,1777.98,0.000
28-05-2008,1772.55,-0.305
29-05-2008,1767.41,-0.290
30-05-2008,1755.95,-0.648
31-05-2008,1744.01,-0.680
01-06-2008,1744.01,0.000
02-06-2008,1744.01,0.000
03-06-2008,1744.01,0.000
04-06-2008,1730.61,-0.768
05-06-2008,1728.76,-0.107
06-06-2008,1709.95,-1.088
07-06-2008,1702.44,-0.439
08-06-2008,1702.44,0.000
09-06-2008,1702.44,0.000
10-06-2008,1687.13,-0.899
11-06-2008,1696.79,0.573
12-06-2008,1700.94,0.245
13-06-2008,1705.35,0.259
14-06-2008,1707.87,0.148
15-06-2008,1707.87,0.000
16-06-2008,1707.87,0.000
17-06-2008,1684.52,-1.367
18-06-2008,1655.42,-1.727
19-06-2008,1652.41,-0.182
20-06-2008,1670.31,1.083
21-06-2008,1678.82,0.509
22-06-2008,1678.82,0.000
23-06-2008,1678.82,0.000
24-06-2008,1713.63,2.073
25-06-2008,1748.04,2.008
26-06-2008,1783.44,2.025
27-06-2008,1832.81,2.768
28-06-2008,1923.02,4.922
29-06-2008,1923.02,0.000
30-06-2008,1923.02,0.000
01-07-2008,1923.02,0.000
02-07-2008,1915.44,-0.394
03-07-2008,1818.6,-5.056
04-07-2008,1748.43,-3.858
05-07-2008,1748.43,0.000
06-07-2008,1748.43,0.000
07-07-2008,1748.43,0.000
08-07-2008,1719.48,-1.656
09-07-2008,1736.49,0.989
10-07-2008,1728.74,-0.446
11-07-2008,1768.09,2.276
12-07-2008,1778.8,0.606
13-07-2008,1778.8,0.000
14-07-2008,1778.8,0.000
15-07-2008,1753.51,-1.422
16-07-2008,1777.17,1.349
17-07-2008,1768.53,-0.486
18-07-2008,1757.79,-0.607
19-07-2008,1788.24,1.732
20-07-2008,1788.24,0.000
21-07-2008,1788.24,0.000
22-07-2008,1802.01,0.770
23-07-2008,1797.43,-0.254
24-07-2008,1772.25,-1.401
25-07-2008,1777.1,0.274
